School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
ST. JOHN'S LUTHERAN - STUTTGAR,31,6,2019 S. Buerkle               ,Stuttgart           ,AR,72160,Ms. ,Kristian            ,               ,Dabbs                    ,STUTTGART SCHOOL DISTRICT,104000,113,P ,6,N,Y,N,
ST. JOSEPH CATHOLIC SCHOOL-CON,31,6,502 Front St                  ,Conway              ,AR,72032,Mr. ,Joe                 ,               ,Mallett                  ,CONWAY SCHOOL DISTRICT,2301000,531,K ,12,N,N,N,
ST. JOSEPH CATHOLIC SCHOOL-FAY,31,6,1722 N Starr Dr               ,Fayetteville        ,AR,72701,Mr. ,Jason               ,               ,Pohlmeier                ,FAYETTEVILLE SCHOOL DISTRICT,7203000,304,P ,8,Y,Y,N,
ST. JOSEPH CATHOLIC SCHOOL-FAY,31,6,1722 N. Starr Drive           ,Fayetteville        ,Ar,72701,Ms. ,Michelle            ,               ,Hightower                ,ELKINS SCHOOL DISTRICT,7201000,2,K ,5,Y,N,N,
ST. JOSEPH CATHOLIC SCHOOL-PAR,31,6,25 S Spruce St                ,Paris               ,AR,72855,Fr. ,Reginald            ,               ,Udouj                    ,PARIS SCHOOL DISTRICT,4203000,67,P ,8,Y,N,N,
ST. MARY'S SCHOOL - PARAGOULD ,31,6,310 N. 2nd St.                ,Paragould           ,AR,72450,Mrs.,Lee                 ,Ann            ,Owen                     ,PARAGOULD SCHOOL DISTRICT,2808000,58,P ,6,Y,Y,N,
ST. PAUL CATHOLIC SCHOOL - POC,31,6,311 Cedar Street              ,Pocahontas          ,AR,72455,Mrs.,Maria               ,A              ,Dickson                  ,POCAHONTAS SCHOOL DISTRICT,6103000,131,P ,6,N,N,N,
ST. RAPHAEL CATHOLIC SCHOOL - ,31,6,1386 South West End St.       ,Springdale          ,AR,72764,    ,Denise              ,               ,Sanchez                  ,SPRINGDALE SCHOOL DISTRICT,7207000,45,P ,P ,N,N,N,
ST. THERESA CATHOLIC SCHOOL - ,31,6,6311 BASELINE RD.             ,LITTLE ROCK         ,AR,72209,MS. ,KRISTY              ,               ,DUNN                     ,LITTLE ROCK SCHOOL DISTRICT,6001000,297,P ,8,Y,Y,N,
ST. VINCENT DE PAUL CATHOLIC -,31,6,1315 W. Cypress St.           ,Rogers              ,AR,72758,    ,Alice               ,               ,Stautzenberger           ,ROGERS SCHOOL DISTRICT,405000,333,P ,8,Y,Y,N,
ST. VINCENT DE PAUL CATHOLIC -,31,6,1315 W CYPRESS                ,ROGERS              ,AR,72758,MRS ,ALICE               ,               ,STAUTZENBERGER           ,PEA RIDGE SCHOOL DISTRICT,407000,0,P ,8,N,N,N,
SUBIACO ACADEMY - SUBIACO     ,31,6,405 N. Subiaco Ave.           ,Subiaco             ,AR,72865,Mr. ,Pat                 ,               ,Franz                    ,CLARKSVILLE SCHOOL DISTRICT,3601000,0,7,12,N,N,N,
SUBIACO ACADEMY - SUBIACO     ,31,6,405 N. Subiaco Ave.           ,Subiaco             ,AR,72865,Mrs.,Cheryl              ,               ,Goetz                    ,SCRANTON SCHOOL DISTRICT,4204000,0,7,12,N,N,N,
THADEN SCHOOL                 ,31,6,410 E Staggerwing Ln          ,Bentonville         ,AR,72712,    ,Clayton             ,               ,Marsh                    ,BENTONVILLE SCHOOL DISTRICT,401000,220,7,10,N,N,N,
THE ANTHONY SCHOOL - LITTLE RO,31,6,7700 OHIO ST.                 ,LITTLE ROCK         ,AR,72227,DR. ,BNE                 ,               ,COVERT                   ,LITTLE ROCK SCHOOL DISTRICT,6001000,265,P ,8,N,N,N,
THE DELTA SCHOOL              ,31,6,5101 Hwy 61                   ,Wilson              ,AR,72395,    ,Andy                ,               ,Jones-Wilkins            ,RIVERCREST SCHOOL DISTRICT,4706000,72,P ,12,N,N,N,
THE HILL SCHOOL               ,31,6,88 West Joyce                 ,Fayetteville        ,AR,72703,    ,Natalie             ,               ,Mazzanti                 ,FAYETTEVILLE SCHOOL DISTRICT,7203000,30,K ,1,Y,Y,N,
THE HUDA ACADEMY - LR         ,31,6,3221 ANNA ST.                 ,LITTLE ROCK         ,AR,72204,MR. ,ZIAD                ,               ,ABDULLA                  ,LITTLE ROCK SCHOOL DISTRICT,6001000,139,P ,6,Y,Y,Y,
TRINITY CHRISTIAN ACADEMY-HAMB,31,6,803 Ashley Rd 95              ,Hamburg             ,Ar,71646,    ,John                ,               ,Williams                 ,CROSSETT SCHOOL DISTRICT,201000,33,P ,12,N,N,N,
TRINITY CHRISTIAN SCHOOL-BRADF,31,6,PO Box 190                    ,Bradford            ,AR,72020,    ,Bill                ,               ,Franks                   ,BALD KNOB SCHOOL DISTRICT,7301000,0,K ,12,N,N,N,
TRINITY CHRISTIAN SCHOOL-BRADF,31,6,PO Box 190                    ,Bradford            ,AR,72020,Mr. ,Don                 ,               ,Robinson                 ,BRADFORD SCHOOL DISTRICT,7303000,7,K ,12,N,N,N,
TRINITY CHRISTIAN SCHOOL-TEXAR,31,6,3107 Trinity Blvd.            ,Texarkana           ,AR,71854,    ,Greg                ,               ,Jones                    ,TEXARKANA SCHOOL DISTRICT,4605000,220,P ,12,N,N,N,
TRINITY HOLINESS              ,31,6,1914 hwy 70W                  ,Glenwood            ,AR,71943,Mr. ,Sammy               ,               ,Cottrell                 ,KIRBY SCHOOL DISTRICT,5503000,3,K ,12,N,N,N,
TRINITY JUNIOR HIGH SCHOOL - F,31,6,1205 SO ALBERT PIKE           ,FORT SMITH          ,AR,72903,DR  ,KAREN               ,               ,HOLLENBECK               ,FORT SMITH SCHOOL DISTRICT,6601000,212,7,9,Y,Y,Y,
UMPIRE CHRISTIAN SCHOOL       ,31,6,164 School St                 ,Umpire              ,AR,71971,    ,Tammie              ,               ,Beierle                  ,COSSATOT RIVER SCHOOL DISTRICT,5707000,8,1,8,N,N,N,
UNION CHRISTIAN ACADEMY - FORT,31,6,4201 WINDSOR DRIVE            ,FORT SMITH          ,AR,72908,    ,RICKY               ,               ,MASSENGALE               ,FORT SMITH SCHOOL DISTRICT,6601000,183,P ,12,N,Y,N,
VALLEY CHRISTIAN ACADEMY      ,31,6,P O Box 1786                  ,Russellville        ,AR,72811,Mrs.,Rebecca             ,               ,Partain                  ,POTTSVILLE SCHOOL DISTRICT,5804000,0,K ,9,N,N,N,
VALLEY CHRISTIAN ACADEMY      ,31,6,201 East G Street             ,Russellville        ,AR,72801,Ms  ,Rebecca             ,               ,Partain                  ,DARDANELLE SCHOOL DISTRICT,7504000,110,K ,12,N,N,N,
VICTORY CHRISTIAN SCHOOL      ,31,6,1244 Maul Road                ,Camden              ,AR,71701,Mr  ,Merle               ,               ,Dorey                    ,CAMDEN FAIRVIEW SCHOOL DISTRICT,5204000,80,K ,12,N,N,N,
WALNUT FARM MONTESSORI SCHOOL ,31,6,4208 E Central Ave            ,Bentonville         ,AR,72712,    ,Ellen               ,               ,Beech                    ,BENTONVILLE SCHOOL DISTRICT,401000,114,P ,4,N,N,N,
WEST MEMPHIS CHRISTIAN - WEST ,31,6,1101 North Missouri           ,West Memphis        ,Ar,72301,    ,Mark                ,               ,Laster                   ,MARION SCHOOL DISTRICT,1804000,85,K ,12,Y,Y,N,
WEST MEMPHIS CHRISTIAN - WEST ,31,6,1101 N. Missouri Street       ,West Memphis        ,AR,72301,Mr. ,Mark                ,               ,Laster                   ,WEST MEMPHIS SCHOOL DISTRICT,1803000,175,K ,12,Y,N,N,
WEST SIDE CHRISTIAN SCHOOL - E,31,6,2400 W. Hillsboro             ,El Dorado           ,AR,71730,    ,Robin               ,               ,Colley                   ,SMACKOVER-NORPHLET SCHOOL DISTRICT,7008000,0,K ,12,N,N,N,
WEST SIDE CHRISTIAN SCHOOL - E,31,6,2400 W. Hillsboro             ,El Dorado           ,Ar,71730,Mrs.,Robin               ,               ,Colley                   ,EL DORADO SCHOOL DISTRICT,7001000,160,K ,12,N,N,N,
WINTHROP BAPTIST ACADEMY      ,31,6,820 Broad St                  ,Winthrop            ,AR,71866,Mrs ,Rosie               ,               ,Jones                    ,HORATIO SCHOOL DISTRICT,6703000,1,K ,12,N,N,N,
WORD OF FAITH CHRISTIAN       ,31,6,12826 hWY. 8 W.               ,AMITY               ,AR,71921,    ,MARY                ,               ,FORSYTHE                 ,CENTERPOINT SCHOOL DISTRICT,5502000,2,K ,12,N,N,N,
WORD OF OUTREACH CHRISTIAN ACA,31,6,3300 ASHER AVENUE             ,LITTLE ROCK         ,AR,72204,DR. ,AMALIA              ,               ,AGNEW                    ,LITTLE ROCK SCHOOL DISTRICT,6001000,70,P ,12,N,N,N,
